SKU;ProductTitleFR;ProductTitleEN;ProductDescriptionFR;ProductDescriptionEN;upc;RegularPrice;Inventory;weight;length;width;height;ImageUrl;ProductCategory;AssociatedSkus
"12X25JV";"Sac en papier pour aspirateur chariot Electrolux - style C AirPlus - paquet de 12 sacs";"Paper Bag for Electrolux Canister Vacuum - Style C AirPlus - Pack of 12 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383120285";"18.990000";"2983";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/12X25JV.jpg";"Vacuum Bags";""
"12X26ECM";"Sac microfiltre pour aspirateur vertical Electrolux - style U - paquet de 12 sacs - Envirocare 138";"Microfilter Vacuum Bag for Electrolux Upright Vacuum - Style U - Pack of 12 Bags - Envirocare 138";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"836301001381";"22.950000";"208";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/12X26ECM.jpg";"Vacuum Bags";""
"12X27ECM";"Sac microfiltre pour aspirateur Electrolux Renaissance - style R - paquet de 6 sacs + 1 filtre - Envirocare 807";"Microfilter Vacuum Bag for Electrolux Renaissance - Style R - Pack of 6 Bags + 1 Filter - Envirocare 807";"<P>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"836301008076";"19.950000";"234";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/12X27ECM.jpg";"Vacuum Bags";""
"12X30ECM";"Sac microfiltre pour aspirateur chariot Compact et Tristar - paquet de 12 sacs - Envirocare 738";"Microfilter Vacuum Bag for Compact and Tristar Canister Vacuum Cleaner - Pack of 12 Bags - Envirocare 738";"<li> Est compatible avec <i>COMPACT TRISTAR</i></li>";"<P><LI>Fits On <I>COMPACT TRISTAR</I></LI></P>";"836301007383";"21.950000";"212";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/12X30ECM.jpg";"Vacuum Bags";""
"1313H";"Sac microfiltre HEPA pour aspirateur Johnny Vac RVVAC - paquet de 5 sacs";"HEPA Microfilter Vaccum Bag for Johnny Vac RVVAC - Pack of 5 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383162285";"23.990000";"2";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1313H.jpg";"Vacuum Bags";""
"135ECM";"Sac microfiltre pour aspirateur Electrolux style S, Eureka style OX - Harmony - Oxygen - paquet de 4 sacs - Envirocare 135";"Microfilter Vacuum Bag for Electrolux Style S, Eureka Style OX - Harmony - Oxygen - Pack of 4 Bags - Envirocare 135";"  <meta generatedBy=""This HTML file is proudly generated by MMM"" />    <h3></h3>  <h3></h3>  <h3>Con̤u pour</h3>      <ul><li>Eureka style OX</li><li>Electrolux style S</li><li>Electrolux EL6980, EL700 et EL7020 Series Canisters</li><li>Eureka 6500, 6990 et CV130 Series Canisters</li></ul>  <h3></h3>  <h3></h3>  <h3></h3>    ";"  <meta generatedBy=""This HTML file is proudly generated by MMM"" />    <h3></h3>        <h3></h3>        <h3>Fits On</h3>      <ul><li>Eureka style OX</li><li>Electrolux style S</li><li>Electrolux EL6980, EL700 and EL7020 Series Canisters</li><li>Eureka 6500, 6990 and CV130 Series Canisters</li></ul>  <h3></h3>        <h3></h3>        <h3></h3>          ";"836301001350";"12.950000";"548";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/135ECM.jpg";"Vacuum Bags";""
"135H";"Sac microfiltre HEPA pour aspirateur Electrolux style S, s̩rie 6500, 69900 et CV140 - paquet de 3 sacs - Envirocare A135";"HEPA Microfilter Vacuum Bag for Electrolux Style S, 6500, 69900 and CV140 Series - Pack of 3 Bags - Envirocare A135";"";"";"836301000711";"10.990000";"424";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/135H.jpg";"Vacuum Bags";"Electrolux-EL4101A,EL201,EL211"
"1393";"Sac microfiltre HEPA pour aspirateur dorsal - Perfect PB1006 - Bissel 6 litres - Oreck 6 litres - paquet de 9 sacs - Vac19";"HEPA Microfilter Vacuum Bag for Back Pack - Perfect PB1006 - Bissel 6 Quarts - Oreck 6 Quarts - Pack of 9 Bags - Vac19";"<P><LI></LI></P>";"<P>&nbsp;</P>";"628383999034";"23.000000";"9";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1393.jpg";"Vacuum Bags";"PE1006"
"140ECM";"Sac microfiltre pour aspirateur GE EUREKA CN-1 - paquet de 3 sacs - Envirocare 140";"Microfilter Bag for Vacuum GE EUREKA CN-1 - Pack of 3 Bags - Envirocare 140";"<P>&nbsp;</P>";"<P>&nbsp;</P>";"836301001404";"9.990000";"30";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/140ECM.jpg";"Vacuum Bags";"140X"
"1410";"Sac en papier pour aspirateur Vortech Force - paquet de 6 sacs - VT1801";"Paper Bag for Vortech Force Vacuum - Pack of 6 Bags - VT1801";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383650249";"18.990000";"9";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1410.jpg";"Vacuum Bags";""
"1414";"Sac en papier pour aspirateur Johnny Vac JV14 et JV16 - Dustbane Upright 355, 405 - paquet de 10 sacs";"Paper Vacuum Bag for Johnny Vac JV14 and JV16 - Dustbane Upright 355, 405 - Pack of 10 Bags";"<P><I>&nbsp;</P></I>";"<P><I></I>&nbsp;</P>";"628383291244";"24.950000";"35";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1414.jpg";"Vacuum Bags";""
"1414H";"Sac microfiltre HEPA pour aspirateur vertical Johnny Vac JV14 et JV16 - Dustbane 355 et 405 - paquet de 5 sacs";"HEPA Microfilter Bag for Johnny Vac JV14 and JV16 Upright Vacuum - Dustbane 355 et 405 - Pack of 5 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383350965";"19.990000";"83";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1414H.jpg";"Vacuum Bags";""
"1525JV";"Sac en papier pour aspirateur - pr̩filtre commercial 15"" X  25"" - Husky G78 / Electrolux - paquet de 5 sacs - Envirocare 814";"Paper Vacuum Bag - 15""  X  25"" Commercial Prefilter - Husky G78 / Electrolux - Pack of 5 Bags - Envirocare 814";"<P><I></I>&nbsp;</P>";"<P><I>&nbsp;</P></I>";"628383572442";"21.950000";"183";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1525JV.jpg";"Vacuum Bags";""
"155263";"Moteur pour balai ̩lectrique Eureka";"Motor for Eureka Electric Broom";"";"";"";"36.900000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/155263.jpg";"Motors, Carbone Brushes & Pumps";""
"155ECM";"Sac microfiltre pour aspirateur vertical General Electric style GE-1 - paquet de 3 sacs - Envirocare 155";"Microfilter Bag for General Electric Upright Vacuum Style GE-1 - Pack of 3 Bags - Envirocare 155";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"836301001558";"7.990000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/155ECM.jpg";"Vacuum Bags";""
"1601";"Sac microfiltre HEPA pour aspirateur chariot Johnny Vac mod̬le Silenzio - paquet de 3 sacs";"Microfilter Hepa Bag for Johnny Vac Canister Vacuum Model Silenzio - Pack of 3 Bags";"";"";"628383170341";"10.990000";"913";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1601.jpg";"Vacuum Bags";"SILENZIO,FIJVSILH,SIL72"
"160ECM";"Sac microfiltre pour aspirateur vertical Sanyo type PU-1 - paquet de 3 sacs";"Microfilter Bag for Sanyo Upright Vacuum Type PU-1 - Pack of 3 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"836301001602";"9.990000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/160ECM.jpg";"Vacuum Bags";""
"174ECM";"Sac en papier pour aspirateur Karcher Tornado CV30 et CV38 - paquet de 10 sacs - Envirocare  ECC174";"Paper Bag for Vacuum Cleaner Karcher Tornado CV30 and CV38 - Pack of 10 Bags - Envirocare  ECC174";"  <meta generatedBy=""This HTML file is proudly generated by MMM"" />    <h3></h3>        <h3></h3>        <h3>Con̤u pour</h3>      <ul><li>Karcher / Tornado Models: CV30/1 & CV38/1 - Clean Breeze</li><li>NSS Pacer Models: 112-115UE (12""-15"") Single Motor</li></ul>  <h3></h3>        <h3></h3>        <h3></h3>          ";"  <meta generatedBy=""This HTML file is proudly generated by MMM"" />    <h3></h3>        <h3></h3>        <h3>Fits On</h3>      <ul><li>Karcher / Tornado Models: CV30/1 & CV38/1 - Clean Breeze</li><li>Karcher / Tornado Models: CV30/1 & CV38/1 - Clean Breeze</li></ul>  <h3></h3>        <h3></h3>        <h3></h3>          ";"836301002685";"19.990000";"46";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/174ECM.jpg";"Vacuum Bags";""
"175ECM";"Sac microfiltre pour aspirateur Eureka, Mighty Mite, style MM - paquet de 3 sacs - Envirocare 153";"Microfilter Bag for Eureka, Mighty Mite and Style MM Vacuum - Pack of 3 Bags - Envirocare 153";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"836301001534";"9.990000";"208";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/175ECM.jpg";"Vacuum Bags";"Sanitaire-SC3683A-1"
"1801";"Sac en papier pour aspirateur Powr-Pro BP-600 - SC412- paquet de 10 sacs";"Paper Bag for Powr-Pro BP-600 Vacuum -SC412 -  Pack of 10 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383783565";"19.950000";"49";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1801.jpg";"Vacuum Bags";"BP1000"
"1802";"Sac en papier pour aspirateur Powr-Pro BP 1000 - paquet de 10 sacs";"Paper Bag for powr-Pro BP 1000 Vacuum - Pack of 10  Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383105770";"27.750000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1802.jpg";"Vacuum Bags";""
"1808ECM";"Sac microfiltre pour aspirateur chariot Sharp type PC2 - paquet de 3 sacs";"Microfilter Bag for Sharp Canister Vacuum Type PC2 - Pack of 3 Bags";"<P>&nbsp;</P>";"<P><LI><EM></EM></LI></P>";"836301008434";"9.990000";"2";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1808ECM.jpg";"Vacuum Bags";""
"1900ECM";"Sac microfiltre pour aspirateur vertical Panasonic type U-12 / Kenmore Z - paquet de 3 sacs - Envirocare 190";"Microfilter Bag for Upright Vacuum Panasonic Type U-12 / Kenmore Z - Pack of 3 Bags - Envirocare 190";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"836301001909";"10.950000";"1";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1900ECM.jpg";"Vacuum Bags";""
"201";"Sac en papier pour aspirateur Johnny Vac Opossum - paquet de 5 sacs";"Paper Bag for Johnny Vac Opossum Vacuum - Pack of 5 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383875253";"7.990000";"4";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/201.jpg";"Vacuum Bags";""
